 Timestamp , Gazepoint X , Gazepoint Y , Pupil area (right) sq mm , Pupil area (left) sq mm , Eye event 
1,0.4971,0.5885,0.49,0.6, S 
1,0.4566,0.5044,0.45,0.63, S 
1,0.3925,0.5621,0.44,0.61, S 
1,0.4275,0.6182,0.48,0.58, S 
1,0.475,0.5828,0.51,0.57, S 
1,0.4883,0.6448,0.53,0.59, S 
1,0.4622,0.6333,0.53,0.66, S 
1,0.4764,0.635,0.52,0.68, FB 
1,0.3738,0.5038,0.41,0.55, FEx0.476y0.635d0.089 
1,0.41,0.5086,0.47,0.56, S 
2,0.4538,0.5582,0.51,0.62, S 
2,0.4691,0.6151,0.55,0.62, S 
2,0.5229,0.8133,0.6,0.69, S 
2,0.5343,0.8096,0.45,0.57, S 
2,0.4809,0.6972,0.56,0.62, S 
2,0.4661,0.6049,0.53,0.72, S 
2,0.4763,0.5275,0.51,0.55, S 
2,0.4737,0.5539,0.49,0.58, S 
2,0.4401,0.5789,0.5,0.53, S 
3,0.3775,0.497,0.43,0.56, S 
3,0.4111,0.5204,0.49,0.59, S 
3,0.4325,0.514,0.51,0.61, S 
3,0.4564,0.552,0.52,0.58, S 
3,0.4736,0.541,0.54,0.59, FB 
3,0.4912,0.6868,0.54,0.72, FEx0.474y0.541d0.130 
3,0.5027,0.6748,0.51,0.65, S 
3,0.4829,0.8241,0.53,0.55, S 
3,0.4928,0.7715,0.58,0.55, S 
4,0.4941,0.6408,0.52,0.59, S 
4,0.4196,0.4401,0.41,0.55, S 
4,0.4657,0.5886,0.51,0.62, S 
4,0.485,0.6509,0.59,0.76, S 
4,0.5155,0.8496,0.59,0.53, S 
4,0.55,1.0415,0.6,0.78, S 
5,0.5597,1.0482,0.67,0.85, S 
5,0.5259,1.0487,0.56,0.71, S 
5,0.5051,1.0611,0.49,0.63, S 
5,0.4602,0.608,0.49,0.62, S 
5,0.3982,0.4738,0.44,0.63, S 
5,0.4564,0.4521,0.46,0.64, S 
5,0.4422,0.4233,0.49,0.63, S 
5,0.4646,0.6183,0.55,0.62, S 
5,0.4622,0.618,0.51,0.62, S 
5,0.4933,0.6608,0.52,0.58, S 
6,0.4881,0.668,0.54,0.59, S 
6,0.4979,0.65,0.56,0.65, FB 
6,0.4952,0.664,0.54,0.62, NA 
6,0.4896,0.647,0.55,0.66, NA 
6,0.4881,0.6393,0.55,0.65, NA 
6,0.4635,0.6854,0.53,0.65, FEx0.493y0.650d0.402 
6,0.4439,0.7112,0.45,0.54, S 
6,0.411,0.3445,0.44,0.54, S 
6,0.4476,0.257,0.46,0.55, S 
6,0.4443,0.4235,0.41,0.6, S 
7,0.4489,0.5229,0.54,0.64, S 
7,0.512,0.7932,0.6,0.68, S 
7,0.4915,0.7045,0.52,0.54, S 
7,0.488,0.6635,0.49,0.56, S 
7,0.5033,0.6463,0.47,0.54, S 
7,0.4913,0.6734,0.48,0.59, S 
7,0.507,0.7103,0.49,0.58, S 
7,0.5014,0.7262,0.5,0.54, S 
7,0.4998,0.7459,0.49,0.58, BE 
8,0.4543,0.5966,0.49,0.57, S 
8,0.4763,0.5455,0.51,0.59, FB 
8,0.4799,0.6123,0.49,0.56, FEx0.476y0.546d0.120 
8,0.4897,0.6216,0.49,0.57, S 
8,0.4968,0.6137,0.49,0.57, FB 
8,0.4853,0.6283,0.51,0.58, NA 
8,0.4843,0.6913,0.59,0.64, FEx0.491y0.621d0.194 
8,0.4651,0.6934,0.55,0.66, S 
8,0.4686,0.6856,0.51,0.66, S 
9,0.443,0.56,0.47,0.58, S 
9,0.3906,0.4959,0.42,0.54, S 
9,0.3472,0.4242,0.48,0.53, BE 
9,0.5014,0.568,0.47,0.54, S 
9,0.4816,0.5327,0.47,0.5, S 
9,0.5092,0.6983,0.49,0.61, S 
9,0.519,0.7065,0.49,0.65, S 
